id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1615962515451543552,1615962512913989634,2023-01-19 10:41:01 +04,2023-01-19,10:41:01,+0400,1548738444553338880,jcioou,"Olabisi Onabanjo Chapter, JCI Nigeria",,"These shifts may be natural, but since the 1800s, human activities have been the main driver of climate change, primarily due to the burning of fossil fuels (like oil and gas), which produces heat-trapping gases and [more relatably] the due to the destruction of plastic wastes.",en,[],[],[],1,0,0,[],[],https://twitter.com/jcioou/status/1615962515451543552,False,,0,,,,,,,,[],,,,
1615962512913989634,1615962512913989634,2023-01-19 10:41:00 +04,2023-01-19,10:41:00,+0400,1548738444553338880,jcioou,"Olabisi Onabanjo Chapter, JCI Nigeria",,"The world we share is changing and naturally change is good, but this change is all but natural. Let's talk Global Warming 🧵.  What is global warming? From the United Nations, Climate change [pka Global Warming] is long-term shifts in temperatures and weather patterns.",en,[],[],[],1,0,0,[],[],https://twitter.com/jcioou/status/1615962512913989634,False,,0,,,,,,,,[],,,,
1615962416558362631,1615962416558362631,2023-01-19 10:40:37 +04,2023-01-19,10:40:37,+0400,1310128477404889094,ahmednalraisi,Ahmed Naser Al-Raisi,,Yesterday I met with President @Surangeljr of Palau 🇵🇼. We discussed:  ➡️ The role of international cooperation to combat today &amp; tomorrow's security challenges  ➡️ The impact of climate change on law enforcement ➡️ Collaborative efforts to tackle environment &amp; trafficking crimes  https://t.co/UXlt8GObiw,en,"[{'screen_name': 'surangeljr', 'name': 'president surangel whipps, jr.', 'id': '2606809188'}]",[],"['https://pbs.twimg.com/media/Fm0NGUlXoAII5HH.jpg', 'https://pbs.twimg.com/media/Fm0NLd2XkAAuNdS.jpg', 'https://pbs.twimg.com/media/Fm0NOvQXoAEnySg.jpg']",0,0,0,[],[],https://twitter.com/AhmedNAlRaisi/status/1615962416558362631,False,,1,https://pbs.twimg.com/media/Fm0NGUlXoAII5HH.jpg,,,,,,,[],,,,
1615962401488375808,1600588713020788737,2023-01-19 10:40:34 +04,2023-01-19,10:40:34,+0400,20007589,davo33r,David Jenkins,,"@algore Klaus Schwab said China 🇨🇳 is the model of climate behavior. China’s response to climate change was to order another 100 coal burning power plants. India,China,Russia don’t give a rip about CC. And they are like 75% of CO2 emissions. Pretending you can make a difference is dumb!",en,[],[],[],0,0,0,[],[],https://twitter.com/davo33r/status/1615962401488375808,False,,0,,,,,,,,"[{'screen_name': 'algore', 'name': 'Al Gore', 'id': '17220934'}]",,,,
1615962376792064001,1615669957228105730,2023-01-19 10:40:28 +04,2023-01-19,10:40:28,+0400,1588041579427778560,doc09480737,doc,,@catturd2 Climate change = money laundering.,en,[],[],[],0,0,0,[],[],https://twitter.com/doc09480737/status/1615962376792064001,False,,0,,,,,,,,"[{'screen_name': 'catturd2', 'name': 'Catturd ™', 'id': '1043185714437992449'}]",,,,
1615962338531889153,1615699258530844672,2023-01-19 10:40:19 +04,2023-01-19,10:40:19,+0400,1250285040,masterdatanews,Michael🇺🇸,,"@tomselliott @Siemens So, Al Gore is saying about a billion people will die from climate change and this guy's looking for a billion people to stop eating meat. I think we're good then.",en,[],[],[],0,0,0,[],[],https://twitter.com/MasterDataNews/status/1615962338531889153,False,,0,,,,,,,,"[{'screen_name': 'tomselliott', 'name': 'Tom Elliott', 'id': '49698174'}, {'screen_name': 'Siemens', 'name': 'Siemens', 'id': '294120449'}]",,,,
1615962324673912832,1615962324673912832,2023-01-19 10:40:15 +04,2023-01-19,10:40:15,+0400,19897138,indiatoday,IndiaToday,,Climate change is one of the main items on the agenda for this year's meeting at #Davos. #WEF2023  https://t.co/TDEHf1o7tN,en,[],['https://www.indiatoday.in/environment/story/davos-2023-climate-change-global-warming-world-economic-forum-2323536-2023-01-19'],[],0,1,0,"['davos', 'wef2023']",[],https://twitter.com/IndiaToday/status/1615962324673912832,False,,0,,,,,,,,[],,,,
1615962300040495106,1615962300040495106,2023-01-19 10:40:10 +04,2023-01-19,10:40:10,+0400,126681958,global_policy,Global Policy,,The death of US–China climate cooperation #climatechange #Washington #Beijing #Kuznetsian #Coal #XiJinping  https://t.co/MJDPuITFVH,en,[],['https://www.globalpolicyjournal.com/blog/17/01/2023/death-us-china-climate-cooperation'],[],0,0,0,"['climatechange', 'washington', 'beijing', 'kuznetsian', 'coal', 'xijinping']",[],https://twitter.com/Global_Policy/status/1615962300040495106,False,,0,,,,,,,,[],,,,
1615962278095880192,1615795130216185859,2023-01-19 10:40:04 +04,2023-01-19,10:40:04,+0400,1574486351579316224,ralphachenbach,Ralph Achenbach,,"@ICRCPresident Suffering from years of #conflicts AND #climatechange, conspiring to create catastrophic conditions, esp in #EastAfrica.",en,[],[],[],0,0,0,"['conflicts', 'climatechange', 'eastafrica']",[],https://twitter.com/RalphAchenbach/status/1615962278095880192,False,,0,,,,,,,,"[{'screen_name': 'ICRCPresident', 'name': 'Mirjana Spoljaric', 'id': '1563460333'}]",,,,
1615962274807562240,1615717480533733377,2023-01-19 10:40:04 +04,2023-01-19,10:40:04,+0400,1202757467819642880,jlump1,J Lump,,@ShellenbergerMD Climate change covers the catastrophic pole shift expected in the summer or sometime. It's a doomsday religion and your tax dollars support it.,en,[],[],[],0,0,0,[],[],https://twitter.com/JLump1/status/1615962274807562240,False,,0,,,,,,,,"[{'screen_name': 'ShellenbergerMD', 'name': 'Michael Shellenberger', 'id': '2474749586'}]",,,,
